rank,zone,lat,lon,violations,score,peak_share_pct,top_violations,patrol_window,days_active
1,KR Market Junction,12.9721,77.5776,49795,92.2,47.8,"WRONG PARKING, NO PARKING",09:00-10:00 IST,152
2,Safina Plaza Junction,12.982,77.6081,19865,53.1,72.7,"WRONG PARKING, NO PARKING",10:00-11:00 IST,151
3,"10th Cross, Dr. Rajkumar Road",13.0103,77.5533,8804,36.5,61.5,"WRONG PARKING, NO PARKING",10:00-11:00 IST,151
4,Anand Rao Junction,13.0005,77.5711,8323,35.0,56.4,"WRONG PARKING, NO PARKING",10:00-11:00 IST,152
5,Modi Bridge Junction,12.9991,77.5492,8225,32.6,48.3,"WRONG PARKING, NO PARKING",08:00-09:00 IST,152
6,Sahakar Nagar Road,13.071,77.5884,5125,31.4,80.5,"WRONG PARKING, NO PARKING",11:00-12:00 IST,136
7,New Horizon College Road,12.9333,77.6901,8540,29.9,36.0,"NO PARKING, WRONG PARKING",04:00-05:00 IST,129
8,Hosahalli Metro Station,12.9745,77.5472,6453,29.5,49.6,"NO PARKING, WRONG PARKING",04:00-05:00 IST,150
9,Unnamed Road,13.1854,77.6801,4031,27.7,36.5,"NO PARKING, WRONG PARKING",04:00-05:00 IST,147
10,"5th Main Road, RPC Layout",12.9673,77.5378,3653,27.3,54.4,"WRONG PARKING, NO PARKING",10:00-11:00 IST,148
11,"New Diagonal Road, Jayanagar",12.9288,77.583,1912,26.2,61.7,"NO PARKING, WRONG PARKING",08:00-09:00 IST,146
12,Neeladri Road,12.8419,77.6458,1744,25.3,73.9,"WRONG PARKING, NO PARKING",12:00-13:00 IST,122
13,MBT Road,13.0085,77.6953,3469,24.8,30.7,"WRONG PARKING, NO PARKING",00:00-01:00 IST,151
14,Kadubeesanahalli Underpass,12.9392,77.6967,2019,24.8,57.2,"WRONG PARKING, PARKING IN A MAIN ROAD",08:00-09:00 IST,127
15,Bellary Road,13.0353,77.589,3020,24.6,42.6,"NO PARKING, WRONG PARKING",04:00-05:00 IST,146
